,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
180,SP1,2020-01-03,18:00,Valladolid,Leganes,2,2,D,LIG18,LIG10,Valladolid,,41.652251,-4.724532099999999,41
181,SP1,2020-01-03,20:00,Sevilla,Ath Bilbao,1,1,D,LIG15,LIG1,Seville,,37.3890924,-5.9844589,54
182,SP1,2020-01-04,12:00,Valencia,Eibar,1,0,H,LIG17,LIG6,Valencia,,39.4699075,-0.3762881,54
183,SP1,2020-01-04,15:00,Getafe,Real Madrid,0,3,A,LIG8,LIG14,Getafe,,40.3082504,-3.7323934,46
184,SP1,2020-01-04,17:30,Ath Madrid,Levante,2,1,H,LIG2,LIG11,Madrid,,40.4167754,-3.7037902,49
185,SP1,2020-01-04,20:00,Espanol,Barcelona,2,2,D,LIG7,LIG3,Barcelona,,41.3850639,2.1734035,56
186,SP1,2020-01-05,11:00,Granada,Mallorca,1,0,H,LIG9,LIG12,Granada,,37.1773363,-3.5985571,50
187,SP1,2020-01-05,13:00,Sociedad,Villarreal,1,2,A,LIG16,LIG19,San Sebastian,,43.318334,-1.9812313,45
188,SP1,2020-01-05,15:00,Alaves,Betis,1,1,D,LIG0,LIG4,Vitoria-Gasteiz,,42.850237,-2.6728711,43
189,SP1,2020-01-05,20:00,Celta,Osasuna,1,1,D,LIG5,LIG13,Vigo,,42.24059889999999,-8.7207268,48
190,SP1,2020-01-17,20:00,Leganes,Getafe,0,3,A,LIG10,LIG8,Leganes,,40.3319506,-3.7686545,48
191,SP1,2020-01-18,12:00,Levante,Alaves,0,1,A,LIG11,LIG0,Valencia,,39.4699075,-0.3762881,56
192,SP1,2020-01-18,15:00,Real Madrid,Sevilla,2,1,H,LIG14,LIG15,Madrid,,40.4167754,-3.7037902,46
193,SP1,2020-01-18,17:30,Osasuna,Valladolid,0,0,D,LIG13,LIG18,Pamplona,,42.812526,-1.6457745,43
