,Div,Team,Team ID,Date,Opponent,Attendance
327,E0,Sheffield,EPL14,26/10/2019,West Ham United,59878.0
328,E0,Sheffield,EPL14,9/11/2019,Tottenham Hotspur,59781.0
329,E0,Sheffield,EPL14,1/12/2019,Wolverhampton Wanderers,31642.0
330,E0,Sheffield,EPL14,8/12/2019,Norwich City,26881.0
331,E0,Sheffield,EPL14,21/12/2019,Brighton & Hove Albion,30505.0
332,E0,Sheffield,EPL14,29/12/2019,Manchester City,54512.0
333,E0,Sheffield,EPL14,2/1/2020,Liverpool,53321.0
334,E0,Sheffield,EPL14,18/1/2020,Arsenal,60310.0
335,E0,Sheffield,EPL14,25/1/2020,Millwall,12653.0
336,E0,Sheffield,EPL14,1/2/2020,Crystal Palace,25170.0
337,E0,Sheffield,EPL14,3/3/2020,Reading,15129.0
338,E0,Sheffield,EPL14,17/6/2020,Aston Villa,
339,E0,Sheffield,EPL14,21/6/2020,Newcastle United,
340,E0,Sheffield,EPL14,24/6/2020,Manchester United,
341,E0,Sheffield,EPL14,5/7/2020,Burnley,
342,E0,Sheffield,EPL14,16/7/2020,Leicester City,
343,E0,Southampton,EPL15,10/8/2019,Burnley,19784.0
344,E0,Southampton,EPL15,24/8/2019,Brighton & Hove Albion,30019.0
345,E0,Southampton,EPL15,27/8/2019,Fulham,8467.0
346,E0,Southampton,EPL15,14/9/2019,Sheffield United,30985.0
347,E0,Southampton,EPL15,24/9/2019,Portsmouth,18707.0
348,E0,Southampton,EPL15,28/9/2019,Tottenham Hotspur,59645.0
349,E0,Southampton,EPL15,19/10/2019,Wolverhampton Wanderers,30915.0
350,E0,Southampton,EPL15,29/10/2019,Manchester City,
351,E0,Southampton,EPL15,2/11/2019,Manchester City,53922.0
352,E0,Southampton,EPL15,23/11/2019,Arsenal,60295.0
353,E0,Southampton,EPL15,8/12/2019,Newcastle United,42303.0
354,E0,Southampton,EPL15,21/12/2019,Aston Villa,41834.0
355,E0,Southampton,EPL15,26/12/2019,Chelsea,40651.0
356,E0,Southampton,EPL15,11/1/2020,Leicester City,32115.0
357,E0,Southampton,EPL15,21/1/2020,Crystal Palace,23739.0
358,E0,Southampton,EPL15,1/2/2020,Liverpool,53291.0
359,E0,Southampton,EPL15,5/2/2020,Tottenham Hotspur,56046.0
360,E0,Southampton,EPL15,29/2/2020,West Ham United,59962.0
361,E0,Southampton,EPL15,19/6/2020,Norwich City,
362,E0,Southampton,EPL15,28/6/2020,Watford,
363,E0,Southampton,EPL15,9/7/2020,Everton,
364,E0,Southampton,EPL15,13/7/2020,Manchester United,
365,E0,Tottenham,EPL16,17/8/2019,Manchester City,54503.0
366,E0,Tottenham,EPL16,1/9/2019,Arsenal,60333.0
367,E0,Tottenham,EPL16,18/9/2019,Olympiakos,31001.0
368,E0,Tottenham,EPL16,21/9/2019,Leicester City,32129.0
369,E0,Tottenham,EPL16,24/9/2019,Colchester United,9481.0
370,E0,Tottenham,EPL16,5/10/2019,Brighton & Hove Albion,30610.0
371,E0,Tottenham,EPL16,27/10/2019,Liverpool,53222.0
372,E0,Tottenham,EPL16,3/11/2019,Everton,39001.0
373,E0,Tottenham,EPL16,6/11/2019,Crvena Zvezda,
374,E0,Tottenham,EPL16,6/11/2019,Red Star Belgrade,42381.0
375,E0,Tottenham,EPL16,23/11/2019,West Ham United,59930.0
376,E0,Tottenham,EPL16,4/12/2019,Manchester United,73252.0
377,E0,Tottenham,EPL16,11/12/2019,Bayern Munich,66353.0
378,E0,Tottenham,EPL16,15/12/2019,Wolverhampton Wanderers,31674.0
379,E0,Tottenham,EPL16,28/12/2019,Norwich City,27072.0
380,E0,Tottenham,EPL16,1/1/2020,Southampton,30976.0
381,E0,Tottenham,EPL16,5/1/2020,Middlesbrough,26693.0
382,E0,Tottenham,EPL16,18/1/2020,Watford,21366.0
383,E0,Tottenham,EPL16,25/1/2020,Southampton,29282.0
384,E0,Tottenham,EPL16,16/2/2020,Aston Villa,41874.0
385,E0,Tottenham,EPL16,22/2/2020,Chelsea,40608.0
386,E0,Tottenham,EPL16,7/3/2020,Burnley,20496.0
387,E0,Tottenham,EPL16,10/3/2020,RB Leipzig,42146.0
388,E0,Tottenham,EPL16,2/7/2020,Sheffield United,
389,E0,Tottenham,EPL16,9/7/2020,AFC Bournemouth,
